Abbreviation,Description
FDIOR,FLIGHT DATA INPUT OUTPUT REMOTE
FDM,FLIGHT DATA MONITOR
FDM,FREQUENCY DIVISION MULTIPLEXING
FDMSAW,FULLY DIGITAL MINIMUM SAFE ALTITUDE WARNING
FDP,FLIGHT DATA PROCESSING
FDP/RDP,FLIGHT DATA PROCESSING RADAR DATA PROCESSING
FDPS,FLIGHT DATA PROCESSING SYSTEM
FDR,FLIGHT DATA RECORDER BLACK BOX 
FDRS,FLIGHT DATA RECORDER SYSTEM
FDT,FLIGHT DECK TRAINING PROGRAM
FDTL,FLIGHT DUTY TIME LIMITATIONS
FDU,FLUX DETECTOR UNIT
FEODP,FLIGHT EDIT AND ON DEMAND PRINTING
FEP,FRONT END PROCESSOR
FERS,FACILITY AND EQUIPMENT REPORTING SYSTEM
FF,FUEL FLOW
FFAC,FROM FACILITY
FFDZ,FREE FALL DROP ZONE PARACHUTE
FFLA,FLEXIBLE FLIGHT LEVEL ASSIGNMENT
FFS,FULL FLIGHT SIMULATOR
FG,FLIGHT GUIDANCE
FIKI,FLIGHT INTO KNOWN ICE
FIRPS,FLIGHT INSPECTION REPORT PROCESSING SYSTEM
FIS,FLIGHT INFORMATION SERVICE
FIS-B,FLIGHT INFORMATION SERVICE BROADCAST
FISDL,FLIGHT INFORMATION SERVICE DATA LINK
FISE,FLIGHT INFORMATION SERVICE ENROUTE
FL,FLIGHT LEVEL
FLDS,FLIGHT LOADS DATA SYSTEM
FLIP,FLIGHT INFORMATION PUBLICATION
FLIR,FORWARD LOOKING INFRA RED
FLOWSIM,TRAFFIC FLOW PLANNING SIMULATION
FLTA,FORWARD LOOKING TERRAIN AVOIDANCE
FLTCK,FLIGHT CHECK
FMA,FLIGHT MODE ANNUNCIATOR
FMC,FLIGHT MANAGEMENT COMPUTER
FMGC,FLIGHT MANAGEMENT GUIDANCE COMPUTER
FMGS,FLIGHT MANAGEMENT GUIDANCE SYSTEM
FMIS,FLIGHT MANAGEMENT INFORMATION SYSTEM
FMS,FLIGHT MANAGEMENT SYSTEM
FNMS,FLIGHT NETWORK MANAGEMENT SYSTEM
FOB,FUEL ON BOARD
FOD,FOREIGN OBJECT DAMAGE
FOMS,FLIGHT OPERATIONS MANAGEMENT SYSTEM
FONSI,FINDING OF NO SIGNIFICANT IMPACT
FPI,FLUORESCENT PENETRANT INSPECTION
FPL,FILED FLIGHT PLAN
FPM,FEET PER MINUTE
FQIS,FUEL QUANTITY INDICATION SYSTEM
FRC,REQUEST FULL ROUTE CLEARANCE
FREQ,FREQUENCY
FSAS,FLIGHT SERVICE AUTOMATION SYSTEM
FSCAP,FLIGHT SAFETY CRITICAL AIRCRAFT PARTS
FSDPS,FLIGHT SERVICE DATA PROCESSING SYSTEM
FSEP,FACILITY SERVICE AND EQUIPMENT PROFILE
FSM,FLIGHT SCHEDULE MONITOR
FSP,FLIGHT STRIP PRINTER
FSPD,FREEZE SPEED PARAMETER
FST,FUEL STORAGE TANKS
FSTD,FLIGHT SIMULATION TRAINING DEVICE
FSYS,FLIGHT SERVICE STATION EQUIPMENT SYSTEM
FT,FEET
FTL,FLIGHT TIME LIMITATIONS
FTS,FEDERAL TELECOMMUNICATIONS SYSTEM
FTS2000,FEDERAL TELECOMMUNICATIONS SYSTEM
FUS,FUNCTIONAL UNIT OR SYSTEM
FVU,FLUX VALVE UNIT
FWCS,FLIGHT WATCH CONTROL STATION
FWS,FLIGHT WARNING SYSTEM
FYDS,FLIGHT DIRECTOR YAW DAMPER SYSTEM
G/A,GO AROUND
G/S,GLIDE SLOPE
GA,GO AROUND
GAST,GBAS APPROACH SERVICE TYPE
GBAS,GROUND BASED AUGMENTATION SYSTEM
GBST,GROUND BASED SOFTWARE TOOL
GCA,GROUND CONTROL APPROACH
GCAS,GROUND COLLISION AVOIDANCE SYSTEM
GCU,GENERATOR CONTROL UNIT
GDE,GROUND DELAY ENHANCEMENTS
GDOP,GEOMETRIC DILUTION OF PRECISION
GDP,GROUND DELAY PROGRAM
GEA,GROUND EFFECT AREA
GGS,GLOBAL POSITIONING SYSTEM GROUND STATION
GHZ,GIGAHERTZ
GIS,GEOGRAPHIC INFORMATION SYSTEM
GLNS,GPS LANDING AND NAVIGATION SYSTEM
GLNU,GPS LANDING AND NAVIGATION UNIT
GLONASS,GLOBAL NAVIGATION SATELLITE SYSTEM
GLS,GBAS LANDING SYSTEM
GLU,GPS LANDING UNIT
GND,GROUND
GNSS,GLOBAL NAVIGATION SATELLITE SYSTEM
GOESF,GOES FEED POINT
GOEST,GOES TERMINAL EQUIPMENT
GP,GLIDE PATH
GPS,GLOBAL POSITIONING SATELLITE
GPU,GROUND POWER UNIT
GPWC,GROUND PROXIMITY WARNING COMPUTER
GPWS,GROUND PROXIMITY WARNING SYSTEM
GRADE,GRAPHICAL AIRSPACE DESIGN ENVIRONMENT
GS,GLIDE SLOPE
GTM,GENERAL TERRAIN MODEL
GUMPS,GAS UNDERCARRIAGE MIXTURE PROPELLER SEAT BELTS SWITCHES
GWDS,GRAPHIC WEATHER DISPLAY SYSTEM
HAA,HEIGHT ABOVE AIRPORT
HAL,HEIGHT ABOVE LANDING
HARS,HIGH ALTITUDE ROUTE SYSTEM
HAT,HEIGHT ABOVE TOUCHDOWN
HAZMAT,HAZARDOUS MATERIAL
HBCS,HIGH BANDWIDTH CONNECTIVITY SYSTEM
HCAP,HIGH CAPACITY CARRIERS
HCS,HOST COMPUTER SYSTEM
HDG,HEADING
HDI,HORIZONTAL DEVIATION INDICATOR
HDME,NDB WITH DISTANCE MEASURING EQUIPMENT
HDOP,HORIZONTAL DILUTION OF PRECISION
HDR,HARDWARE DISCREPANCY REPORT
HELI,HELI
HEMS,HELICOPTER EMERGENCY MEDICAL SERVICE
HF,HIGH FREQUENCY
HG,UNITS OF MERCURY PRESSURE
HHLD,HEADING HOLD
HI/EFAS,HIGH ALTITUDE EFAS
HID,HOST INTERFACE DISPLAY
HIEFAS,HIGH ALTITUDE EFAS
HI-EFAS,HIGH ALTITUDE EFAS
HIGE,HOVER IN GROUND EFFECT
HIRF,HIGH INTENSITY RADIATED FIELD
HIRL,HIGH INTENSITY RUNWAY LIGHT
HIRO,HIGH INTENSITY RUNWAY OPERATION
HIRTA,HIGH INTENSITY RADIO TRANSMISSION AREA
HIWAS,HAZARDOUS INFLIGHT WEATHER ADVISORY SERVICE
HL,HEIGHT LOSS
HLD,HOLD
HLDC,HIGH LEVEL DATA LINK CONTROL
HMD,HELMET-MOUNTED DISPLAY
HMG,HYDRAULIC MOTOR GENERATOR
HMI,HAZARDOUSLY MISLEADING INFORMATION
HMU,HYDRO MECHANICAL UNIT
HOGE,HOVER OUT OF GROUND EFFECT
HPC,HIGH PRESSURE COMPRESSOR
HPR,HIGH PRESSURE ROTOR
HPT,HIGH PRESSURE TURBINE
HPTACC,HIGH PRESSURE TURBINE ACTIVE CLEARANCE CONTROL
HR,HOURS
HRS,HOURS
HSD,HIGH SPEED DATA
HSI,HORIZONTAL SITUATION INDICATOR
HSL,HEADING SELECT
HUD,HEADS UP DISPLAY
HUMA,HEALTH USAGE MONITORING SYSTEM
HUMS,HEALTH USAGE MONITORING SYSTEM
HVAC,HEATING VENTILATING AND AIR CONDITIONING
HW,HEADWIND
HWAS,HAZARDOUS IN-FLIGHT WEATHER ADVISORY
HYD,HYDRAULIC
HYDIM,HYDRAULIC INTERFACE MODULE
HZ,HERTZ
IAC,INSTRUMENT APPROACH CHART
IAF,INITIAL APPROACH FIX INSTRUMENTAL APPROACH
IAP,INSTRUMENT APPROACH PROCEDURE
IAPA,INSTRUMENT APPROACH PROCEDURE AUTOMATION
IAS,INDICATED AIRSPEED
IB,INBOARD
IBR,INTERMEDIATE BIT RATE
IC,IMPLEMENTATION CENTER
ICMS,INTEGRATED CONTROL AND MONITOR SYSTEM
ICO,IDLE CUTOFF
ICSS,INTEGRATED COMMUNICATIONS SWITCHING SYSTEM
ICTS,ICE CONTAMINATED TAILPLANE STALL
ID,IDENTIFICATION
IDAT,INTERFACILITY DATA
IDENT,IDENTIFICATION
IDG,INTEGRATED DRIVE GENERATOR
IDS,INFORMATION INTEGRATED DISPLAY SYSTEM
IDT,IDENTIFY XPDR
IEPR,INTEGRATED ENGINE PRESSURE RATIO
IETM,IETM
IFCP,INTERFACILITY COMMUNICATIONS PROCESSOR
IFDS,INTERFACILITY DATA SYSTEM
IFE,IN FLIGHT ENTERTAINMENT
IFEA,IN FLIGHT EMERGENCY ASSISTANCE
IFF,IDENTIFICATION FRIEND OR FOE
IFICS,INTEGRATED FLIGHT INSTRUMENT AND CONTROL SYSTEM
IFR,INSTRUMENT FLIGHT RULES
IFSD,IN FLIGHT SHUTDOWN
IGV,INLET GUIDE VANE
ILM,INVENTORY LOGISTICS AND MAINTENANCE SUITE
ILS,INSTRUMENT LANDING SYSTEM
IMC,INSTRUMENT METEOROLOGICAL CONDITION
IML,INSIDE MOLD LINE
IND,INDICATOR
INHG,INCH OF MERCURY
INM,INTEGRATED NOISE MODEL
INS,INERTIAL NAVIGATION SYSTEM
INT,INTERSECTION
IR,INITIAL RELEASE
IRCAS,INTRANET RADIO COVERAGE ANALYSIS SYSTEM
IRS,INERTIAL REFERENCE SYSTEM
IRT,INSTRUMENT RATING TEST
IRU,INERTIAL REFERENCE UNIT
IRVR,INSTRUMENTED RUNWAY VISUAL RANGE
ISDN,INTEGRATED SERVICE DIGITAL NETWORK
ISFD,INTEGRATED STANDBY FLIGHT DISPLAY
ISIS,INTEGRATED STANDBY INSTRUMENT SYSTEM
ISMLS,INTERIM STANDARD MICROWAVE LANDING SYSTEM
ISP,INTEGRATED SWITCHING PANEL
ITC,IN TRAIL CLIMB
ITD,IN TRAIL DESCENT
ITI,INTERACTIVE TERMINAL INTERFACE
ITT,INTERSTAGE TURBINE TEMPERATURE
ITWS,INTEGRATED TERMINAL WEATHER SYSTEM
IVRS,INTERIM VOICE RESPONSE SYSTEM
IVSI,INSTANTANEOUS VERTICAL SPEED INDICATOR
IVSR,INTERIM VOICE SWITCH REPLACEMENT PROGRAM
IVT,INTERACTIVE VIDEO TELETRAINING
IW,INSIDE WIRING
IWGDS,INTERIM WEATHER GRAPHIC-DISPLAY SYSTEM
JAA,JOINT AVIATION AUTHORITIES
KBPS,KILOBITS PER SECOND
KCAS,KNOTS CALIBRATED AIRSPEED
KHZ,KILOHERTZ
KIAS,KNOTS INDICATED AIRSPEED
KNOT,KNOTS
KNOTS,KNOTS
KTAS,KNOTS TRUE AIRSPEED
KVDT,KEYBOARD VIDEO DISPLAY TERMINAL
LAAS,LOW ALTITUDE ALERT SYSTEM
LABSC,LABS COMPUTER
LABSR,LABS REMOTE EQUIPMENT
LABSW,LABS SWITCH SYSTEM
LADGPS,LOCAL AREA DIFFERENTIAL GPS
LAGPS,LOCAL AREA GLOBAL POSITIONING SYSTEM
LAHSO,LAND AND HOLD SHORT OPERATION
LATA,LOCAL ACCESS AND TRANSPORT AREA
LAWRS,LIMITED AVIATION WEATHER REPORTING SYSTEM
LBR,LAN BASED RANDOM ACCESS PLAN POSITION INDICATOR
LCC,LIFE CYCLE COST
LCD,LIQUID CRYSTAL DISPLAY
LCG,LOAD CLASSIFICATION GROUP
LCGS,LOW COST GROUND SURVEILLANCE RADAR
LDA,LOCALIZER DIRECTIONAL AID
LDGPS,LOCAL AREA DIFFERENTIAL GLOBAL POSITIONING SATELLITE
LDIN,LEAD IN LIGHTS
LED,LIGHT EMITTING DIODE
LF,LOW FREQUENCY
LFME,LOCAL FLOW MANAGEMENT ENHANCEMENTS
LFR,LOW FREQUENCY RADIO RANGE
LH,LEFT HAND
LINCS,LEASED INTERFACILITY NATIONAL AIRSPACE SYSTEM COMMUNICATIONS SYSTEM
LIR,LOADING INSTRUCTION REPORT
LIRL,LOW INTENSITY RUNWAY LIGHT
LKP,LAST KNOWN POSITION
LLC,LIFE LIMITED COMPONENT
LLP,LIFE LIMITED PART
LLWAS,LOW LEVEL WIND SHEAR ALERT SYSTEM
LLZ,LOCALIZER INSTRUMENT LANDING SYSTEM
LM,LAND AND MARINE
LMM,COMPASS LOCATOR AT MIDDLE MARKER
LNAV,LATERAL NAVIGATION
LOC,ILS LOCALIZER
LOCID,LOCATION IDENTIFIER
LOFT,LINE ORIENTED FLIGHT TRAINING
LOM,COMPASS LOCATOR AT OUTER MARKER
LON,LETTER OF NO ACTION
LORAN,LONG RANGE AID TO NAVIGATION
LOTC,LOSS OF THRUST CONTROL
LOV,LIST OF VALUES
LPC,LOW PRESSURE COMPRESSOR
LPR,LOW PRESSURE ROTOR
LPT,LOW PRESSURE TURBINE
LPTACC,LOW PRESSURE TURBINE ACTIVE CLEARANCE CONTROL
LPV,LOCALIZER PERFORMANCE WITH VERTICAL GUIDANCE
LRC,LONG RANGE CRUISE
LRCO,LIMITED REMOTE COMMUNICATIONS OUTLET
LRNAV,LONG RANGE NAVIGATION
LRR,LONG RANGE RADAR
LRU,LINE REPLACEABLE UNIT
LSA,LIGHT SPORT AIRCRAFT
LSAP,LOADABLE SOFTWARE AIRCRAFT PART
LSAS,LONGITUDINAL STABILITY AUGMENTATION SYSTEM
LSMS,LINE STATION MAINTENANCE SECTION
LTC,LINE TRAINING CAPTAIN
LTE,LOSS OF TAIL ROTOR EFFECTIVENESS HELICOPTER
LTP,LANDING THRESHOLD POINT
LVP,LOW VISIBILITY PROCEDURE
LW,LANDING WEIGHT
LX,LIGHTNING
LZ,LANDING ZONE
M,MACH
M1FC,MODEL ONE FULL CAPACITY
MAA,MAXIMUM AUTHORIZED ALTITUDE
MAC,MAINTENANCE ACTION CODE
MAHF,MISSED APPROACH HOLDING FIX USED IN RNAV
MALS,MEDIUM INTENSITY APPROACH LIGHT SYSTEM
MALSF,MEDIUM INTENSUTY APPROACH LIGHT SYSTEM WITH SEQUENCED FLASHERS
MALSR,MEDIUM INTENSITY APPROACH LIGHT SYSTEM WITH RUNWAY ALIGNMENT INDICATOR LIGHTS
MAM,MAINTENANCE ASSUMED MONITOR
MAP,MANIFOLD ABSOLUTE PRESSURE OR MISSED APPROACH POINT
MAPS,MINIMUM AVIATION PERFORMANCE STANDARD
MAPT,MISSED APPROACH POINT INSTRUMENT APPROACH
MASS,MAINTENANCE AUTOMATION SYSTEM SOFTWARE
MATS,MANUAL OF AIR TRAFFIC SERVICE
MB,MARKER BEACON
MBC,MAIN BASE CHECK
MBPS,MEGABITS PER SECOND
MBT,MANEUVERS BASED TRAINING
MCA,MINIMUM CROSSING ALTITUDE
MCAS,MANEUVERING CHARACTERISTICS AUGMENTATION SYSTEM
MCBF,MEAN CYCLES BETWEEN FAILURES
MCDU,MULTI CONTROL DISPLAY UNIT
MCI,MODE C INTRUDER
MCK,MAINTENANCE CHECK
MCL,MIDDLE COMPASS LOCATER
MCP,MODE CONTROL PANEL
MCS,MAINTENANCE AND CONTROL SYSTEM
MCT,MAXIMUM CONTINUOUS THRUST
MDA,MINIMUM DESCENT ALTITUDE
MDCRS,METEREOLOGICAL DATA COLLECTION AND REPORTING SYSTEM
MDDR,MAINTENANCE DEFERRED DEFECT RECORD
MDFM,MATERIAL DELIVERY FORECAST MODULE
MDH,MINIMUM DESCENT HEIGHT
MDT,MAINTENANCE DATA TERMINAL
MEA,MINIMUM EN ROUTE ALTITUDE
MEARTS,MICRO EARTS
MEDEVAC,MEDICAL EVACUATION
MEF,MAXIMUM ELEVATION FIGURE
MEL,MEL
MEP,MULTI ENGINE PISTON
METI,METEOROLOGICAL INFORMATION
MF,MEDIUM FREQUENCY
MFD,MULTI FUNCTION DISPLAY
MFDS,MULTI FUNCTION DISPLAY SYSTEM
MFJ,MODIFIED FINAL JUDGMENT
MFRA,MINIMUM FLAP RETRACTION ALTITUDE
MFT,METER FIX CROSSING TIME SLOT
MH,MAGNETIC HEADING
MHA,MINIMUM HOLDING ALTITUDE
MHZ,MEGA HERTZ
MIA,MINIMUM IFR ALTITUDE
MIC,MICROPHONE
MIN,MIN
MINS,MIN
MINUTES,MIN
MIRL,MEDIUM INTENSITY RUNWAY LIGHT
MKP,MULTI FUNCTION KEYPAD
MKR,MARKER BEACON
ML,MAINTENANCE LAPTOP
MLDW,MAXIMUM LANDING WEIGHT
MLG,MAIN LANDING GEAR
MLS,MICROWAVE LANDING SYSTEM
MM,INSTRUMENT LANDING SYSTEM MIDDLE MARKER
MMC,MAINTENANCE MONITORING CONSOLE
MMD,MOVING MAP DISPLAY
MMEL,MMEL
MMR,MULTI MODE RECEIVER
MMS,MAINTENANCE MONITORING SYSTEM
MNPS,MINIMUM NAVIGATION PERFORMANCE SPECIFICATION
MNPSA,MINIMUM NAVIGATION PERFORMANCE SPECIFICATIONS AIRSPACE
MOCA,MINIMUM OBSTRUCTION CLEARANCE ALTITUDE
MORA,MINIMUM OFF ROUTE ALTITUDE
MP,MANIFOLD PRESSURE
MPAR,MULTI FUNCTION PHASED ARRAY RADAR
MPL,MULTI CREW PILOT LICENSE
MPS,MAINTENANCE PROCESSOR SUBSYSTEM
MPU,MULTI FUNCTION PROCESSOR UNIT
MRA,MINIMUM RECEPTION ALTITUDE
MROT,MINIMUM RUNWAY OCCUPANCY TIME
MRP,MATERIAL RESOURCES PLANNING
MRW,MAXIMUM RAMP WEIGHT
MSA,MINIMUM SAFE ALTITUDE
MSAD,MONITOR SAFETY ANALYZE DATA
MSAW,MINIMUM SAFE ALTITUDE WARNING
MSD,MINIMUM STABILIZATION DISTANCE
MSDA,MATERIAL SAFETY DATA SHEET
MSDS,MATERIAL SAFETY DATA SHEET
MSG,MESSAGE
MSL,MEAN SEA LEVEL
MSLW,MAX STRUCTURAL LANDING WEIGHT
MSTOW,MAX STRUCTURAL TAKE OFF WEIGHT
MSZFW,MAX  STRUCTURAL ZERO FUEL WEIGHT
MTBF,MEAN TIME BETWEEN FAILURES
MTBUR,MEAN TIME BETWEEN UNSCHEDULED REMOVAL
MTCS,MODULAR TERMINAL COMMUNICATIONS SYSTEM
MTD,MOVING TARGET DETECTION
MTI,MOVING TARGET INDICATOR
MTOW,MAXIMUM TAKE OFF WEIGHT
MTTF,MEAN TIME TO FAILURE
MUX,MULTIPLEXOR
MVA,MINIMUM VECTORING ALTITUDE
MVFR,MARGINAL VISUAL FLIGHT RULES
MVMC,MARGINAL VISUAL METEOROLOGICAL CONDITION
MWP,METEOROLOGICAL WEATHER PROCESSOR
MZFW,MAXIMUM ZERO FUEL WEIGHT
N,NORTH
N1,LOW PRESSURE ROTOR SPOOL SPEED JET ENGINE
N2,HIGH PRESSURE ROTOR SPOOL SPEED JET ENGINE
NAAQS,NATIONAL AMBIENT AIR QUALITY STANDARD
NADA,NADIN CONCENTRATOR
NADIN,NATIONAL AIRSPACE DATA INTERCHANGE NETWORK
NADP,NOISE ABATEMENT DEPARTURE PROCEDURE
NADSW,NATIONAL AIRSPACE DATA INTERCHANGE NETWORK SWITCH
NAMS,NATIONAL AIRSPACE DATA INTERCHANGE NETWORK
NAV,NAVIGATION
NAVAID,NAVIGATION AID
NAVAIDS,NAVIGATION AID
"NAVCOMM, NAV/COM OR NAV-COM",NAVIGATION AID COMMUNICATIONS EQUIPMENT
NAVMN,NAVIGATION MONITOR AND CONTROL
NAVSTAR,NAVIGATION SATELLITE TIMING AND RANGING SYSTEM
NAWAU,NATIONAL AVIATION WEATHER ADVISORY UNIT
NBCAP,NATIONAL BEACON CODE ALLOCATION PLAN
NCIU,NEXRAD COMMUNICATIONS INTERFACE UNIT
NCP,NOISE COMPATIBILITY PROGRAM
NCS,NATIONAL COMMUNICATIONS SYSTEM
ND,NAVIGATION DISPLAY
NDB,NON DIRECTIONAL RADIO BEACON
NDNB,NATIONAL AIRSPACE DATA INTERCHANGE NETWORK
NDT,NON DESTRUCTIVE TESTING
NE,DIRECTION
NEC,NATIONAL ELECTRIC CODE
NED,NATIONAL ELEVATION DATA
NEM,NOISE EXPOSURE MAP
NEXRAD,NEXT GENERATION WEATHER RADAR
NEXTGEN,NEXT GENERATION AIR TRANSPORTATION SYSTEM
NFF,NO FAULT FOUND
NG,GAS GENERATOR SPEED
NGS,NITROGEN GENERATION SYSTEM
NH,HIGH ROTOR SPEED
NHA,NEXT HIGHER ASSEMBLY
NICS,NATIONAL AIRSPACE SYSTEM INTERFACILITY COMMUNICATIONS SYSTEM
NIMS,NAS INFRASTRUCTURE MANAGEMENT SYSTEM
NLG,NOSE LANDING GEAR
NM,NAUTICAL MILE
NMAC,NEAR MID AIR COLLISION
NMCE,NETWORK MONITORING AND CONTROL EQUIPMENT
NMCS,NETWORK MONITORING AND CONTROL SYSTEM
NNC,NON NORMAL CHECKLIST
NON-RNAV,NON-RNAV
NOPT,NO PROCEDURE TURN REQUIRED
NORDO,NO RADIO
NORTHBOUND,NORTH BOUND
NORTH-BOUND,NORTH BOUND
NORTHEAST,NORTH BOUND
NORTHEASTBOUND,NORTH BOUND
NORTHEAST-BOUND,NORTH BOUND
NORTHEASTERLY,NORTH BOUND
NORTHERLY,NORTH BOUND
NORTHWEST,NORTH BOUND
NORTHWESTBOUND,NORTH BOUND
NORTHWEST-BOUND,NORTH BOUND
NORTHWESTERLY,NORTH BOUND
NOTAR,NO TAIL ROTOR
NOZ,NORMAL OPERATING ZONE PARALLEL RUNWAY OPERATION
NP,POWER TURBINE SPEED
NPA,NON-PRECISION APPROACH INSTRUMENTAL APPROACH
NR,ROTOR SPEED HELICOPTER
NRCS,NATIONAL RADIO COMMUNICATIONS SYSTEM
NRP,NATIONAL ROUTE PROGRAM
NRR,NOISE REDUCTION RATING
NTS,NOTAM TRACKING SYSTEM
NTZ,NO TRANSGRESSION ZONE
NVD,NIGHT VISION DEVICE
NVG,NIGHT VISION GOGGLES
NW,DIRECTION
NWP,NEXTGEN WEATHER PROCESSOR
NWSR,NWS WEATHER EXCLUDING ADVANCED WEATHER RADAR SYSTEM
NXRD,ADVANCED WEATHER RADAR SYSTEM
OAT,OUTSIDE AIR TEMPERATURE
OAW,OFF AIRWAY WEATHER STATION
OBI,OMNIBEARING INDICATOR CDI
OBS,OMNIBEARING SELECTOR
OCA,OBSTACLE CLEARANCE ALTITUDE
OCC,OPERATIONS CONTROL CENTER
OCCM,ON CONDITION CONDITION MONITORED COMPONENT
OCH,OBSTACLE CLEARANCE HEIGHT
ODAL,OMNI DIRECTIONAL APPROACH LIGHT SYSTEM
ODALS,OMNI DIRECTIONAL APPROACH LIGHT SYSTEM
ODAPS,OCEANIC DISPLAY AND PROCESSING STATION
ODL,OCEANIC DATA LINK
ODO,SIMULTANEOUS OPPOSITE DIRECTION OPERATIONS
OE,OBSTACLE EVALUATION
OEI,ONE ENGINE INOPERATIVE
OETS,OBSTACLE EVALUATION TRACKING SYSTEM
OFA,OBJECT FREE AREA
OFDPS,OFFSHORE FLIGHT DATA PROCESSING SYSTEM
OFT,OUTER FIX TIME
OFZ,OBSTACLE FREE ZONE
OGV,OUTLET GUIDE VANE
OIS,OBSTACLE IDENTIFICATION SURFACE
OM,ILS OUTER MARKER
OMEGA,VERY LOW RADIO NAVIGATION SYSTEM
OML,OUTER MOLD LINE
ONAT,ONBOARD NETWORK ACCESS TERMINAL
ONER,OCEANIC NAVIGATIONAL ERROR REPORT
ONS,ONBOARD NETWORK SYSTEM
OPD,OPTIMUM PROFILE DESCENT
OW,OPERATIONAL WEIGHT
OWE,OPERATING WEIGHT EMPTY/OPERATING EMPTY WEIGHT
P2R2,PREFERRED ROUTE REDUCTION PROGRAM
PA,PUBLIC ADDRESS SYSTEM
PABX,PRIVATE AUTOMATED BRANCH EXCHANGE
PAD,PACKET ASSEMBLER/DISASSEMBLER
PAEW,PERSONNEL AND EQUIPMENT WORKING
PAH,PRODUCTION APPROVAL HOLDER
PAL,PILOT ACTIVATED LIGHTING
PAM,PERIPHERAL ADAPTER MODULE
PAMRI,PERIPHERAL ADAPTER MODULE REPLACEMENT ITEM
PANS,PROCEDURE FOR AIR NAVIGATION SERVICE
PANS-OPS,PROCEDURE FOR AIR NAVIGATION SERVICE AIRCRAFT OPERATIONS
PAOG,PRE AIRCRAFT ON GROUND
PAPI,PRECISION APPROACH PATH INDICATOR
PAR,PRECISION APPROACH RADAR
PATS,PRECISION APPROACH TRACKING SYSTEM
PATWAS,PILOTS AUTOMATIC TELEPHONE WEATHER ANSWERING SERVICE
PAX,PASSENGER
PBCS,PERFORMANCE BASED COMMUNICATION AND SURVEILLANCE
PBCT,PROPOSED BOUNDARY CROSSING TIME
PBD,PLACE BEARING DISTANCE RNAV WAYPOINT
PBE,PROTECTIVE AIR BREATHING EQUIPMENT
P-CODE,GPS PRECISION CODE
PCS,POWER CONDITIONING SYSTEM
PD,PROFILE DESCENT
PDAR,PREFERENTIAL ARRIVAL AND DEPARTURE ROUTE
PDC,PRE DEPARTURE CLEARANCE
PDOP,POSITION DILUTION OF PRECISION
PDR,PREFERENTIAL DEPARTURE ROUTE
PDU,POWER DRIVE UNIT FLAP ACTUATION
PESA,PASSIVE ELECTRONICSALLY SCANNED ARRAY
PET,POINT OF EQUAL TIME
PF,PILOT FLYING
PFAF,PRECISION FINAL APPROACH FIX
PFAST,PASSIVE FINAL APPROACH SPACING TOOL
PFC,PASSENGER FACILITY CHARGE
PFD,PRIMARY FLIGHT DISPLAY
PIC,PILOT IN COMMAND
PICUS,PILOT IN COMMAND UNDER SUPERVISION
PIDP,PROGRAMMABLE INDICATOR DATA PROCESSOR
PIO,PILOT INDUCED OSCILLATIONS
PMG,PERMANENT MAGNET GENERATOR
PND,PRIMARY NAVIGATION DISPLAY
PNF,PILOT NOT FLYING
PNR,PASSIVE NOISE REDUCTION
POC,PORTABLE OXYGEN CONCENTRATOR
POF,PHASE OF FLIGHT
PRA,PRE-RECORDED ANNOUNCEMENT
PRI,PRIMARY RATE INTERFACE
PRM,PRECISION RUNWAY MONITOR
P-RNAV,PRECISION AREA NAVIGATION
PS,PASSENGER STEP
PSR,POWER SUPPLY RESET
PSU,PASSENGER SERVICE UNIT
PTC,PRESUMED TO CONFORM
PTCU,POWER TRANSFER CONTROL UNIT
PTF,PERMIT TO FLY
PTT,PUSH TO TALK
PUP,PRINCIPAL USER PROCESSOR
PVC,PERMANENT VIRTUAL CIRCUIT
PVD,PLAN VIEW DISPLAY
PWI,PROXIMITY WARNING INDICATOR
PYLD,PAYLOAD
QEC,QUICK ENGINE CHANGE
QFE,ATMOSPHERIC PRESSURE AT AERODROME ELEVATION OR AT RUNWAY THRESHOLD
QMS,QUALITY MANAGEMENT SYSTEM
QNE,PRESSURE ALTITUDE
QNH,BAROMETRIC PRESSURE ADJUSTED TO SEA LEVEL
RAAS,RUNWAY AWARENESS AND ADVISORY SYSTEM
RAI,RADIO ALTIMETER INDICATOR
RAIL,RUNWAY ALIGNMENT INDICATOR LIGHT SYSTEM
RAIM,RECEIVER AUTONOMOUS INTEGRITY MONITOR
RALT,RADAR OR RADIO ALTIMETER
RAPCO,RADAR APPROACH CONTROL
RAPCON,RADAR APPROACH CONTROL
RAPPI,RANDOM ACCESS PLAN POSITION INDICATOR
RAREPS,WEATHER RADAR REPORT
RAS,RECTIFIED AIR SPEED
RAT,RAM AIR TURBINE
RBC,ROTATING BEAM CEILOMETER
RBDPE,RADAR BEACON DATA PROCESSING EQUIPMENT
RBN,RADIO BEACON
RBPM,REMOTE BEACON PERFORMANCE MONITOR
RCA,ROOT CAUSE ANALYSIS
RCE,RADIO CONTROL EQUIPMENT
RCF,REMOTE COMMUNICATIONS FACILITY
RCIU,REMOTE CONTROL INTERFACE UNIT
RCL,RADIO COMMUNICATIONS LINK
RCLM,RUNWAY CENTERLINE MARKING
RCLR,RADIO COMMUNICATIONS LINK REPEATER
RCLS,RUNWAY CENTERLINE LIGHT SYSTEM
RCLT,RADIO COMMUNICATIONS LINK TERMINAL
